Song_id,title,Singer_en,Singer_si,Genre_en,Genre_si,Lyricist_en,Lyricist_si,Composer_en,Composer_si,song_lyrics,Metaphor,Source domain,Target domain,Meaning
10,Adara nadiya gala – ආදර නදිය ගලා,Mohideen Beg,මොහිදීන් බෙග්,Classics,සම්භාව්ය,Sarath Wimalaweera,සරත් විමලවීර,B.S.Perera,බී.එස්.පෙරේරා,"  
       
     
     
     
     
 


                              
ආදර නදිය ගලා ආවා දෙගොඩතලා ආ පෙම සොයලා
                              
කිරි දිය කඩිති පවා ආවා තරඟ පපා මේ පෙම සොයලා

 
                      
වන මල තනිව ඔබේ මිහිරෙන් පිරිලා තිබේ
                     
සමනල කුමරු ඔබේ තුරුලෙන් කැපිලා පෙනේ
             
මා ඔබේ මාලා සාලිය තුරුලේ
             
නෑ මාලනී ඔබේ ගාමිණි උකුලේ
   


       
     
     

 
                      
පායාලා ප්‍රේමේ ගීගේ පුරහඳ වාගෙ වසන්තේ
                      
ආදරයේ සාරේ බීලා තව පෙම් ගීත ගයන්නේ
            
මිහිරෙහි මිහිර සොයන්නේ
   

 
                      
අග රජ මමයි ඔබේ ඔබ මා රැජිනී තමා
                  
අමතමි ඔබට මගේ පෙම් ලෝ රජිඳා කියා
             
ආදරේ පාලා නැළවෙමු සොඳුරේ
             
ඕ රාජයාණනි පෙම් රස ඉතිරේ
     

   
",ආදර නදිය,ආදරය ,නදිය,ආදරය නදියකි  
11,Adara nil dase – ආදර නිල් දෑසේ,Narada Disasekara,නාරදගේ දිසේකර,Golden Oldies,ගෝල්ඩන් ඕල්ඩීස්,Dharmasiri Gamage,ධර්මසිරි ගමගේ,Premasiri Khemadasa,ප්‍රේමසිරි කේමදාස්,"
       
       


         
ආදර නිල් දෑසේ ආදර නිල් දෑ‍සේ
                   
මැණික් රුවක් ඇඳී තිබේ ආදර නිල් දෑසේ
 
        
        
        

 
                         
ආදර මල පිපී වැනේ ඇග පෙම් හද පොකුනේ
                    
මගේ ලමැද පලඳින්නයි ඒ රන් මල පිපුණේ
         
ආදර නිල් දෑසේ ආදර නිල් දෑ‍සේ

 
       
        

 
                                          
විමානයේ කවුළු දොරින් නෙත් හී සැර විදලා
                    
කුමාරියක් කතා කරයි කාටද අත වනලා
         
ආදර නිල් දෑසේ ආදර නිල් දෑ‍සේ

 
            
        
        

 
                        
සිනහ දෙතොල් යහනාවේ වැතිරෙමි රස උරලා
    
                        
හද ලෙන් දොර වසනු මැනවි මා එහි සිර කරලා
   

",සිනහ දෙතොල් යහනාවේ,සිනහව,දෙතොල් යහනාව,සිනහව දෙතොලේ තිබෙන යහනාවකි 
12,Adara Samarum – ආදර සැමරුම්,Sanath Nandasiri,සනත් නන්දසිරි,Old Pops,පැරණි පොප්,Ajantha Ranasinghe,අජන්තා රණසිංහ,Sanath Nandasiri,සනත් නන්දසිරි,"  
     
     
 




                  
ආදර සැමරුම් කැටිවූ නෙතු කඳුළින් මුතු පබළු
          
නිමා කළෙමි සිහිවටනය 
               
යමුනා තීරේයමුනා තීරේ
                         
එවන් නිමල මැදුර බලා වඩින්න දේවියේ
                    
මහද අඳුරු ලෙන අතහැර වඩින්න දේවියේ

      
     
  
 

 
              
දහසක් මිණි මල් ලිය කම්
         
පෙම පිදු වූ රන් කැටයම්
                
යමුනාවේ තරඟ මතින් මත පිළිබිඹු වේවා
                  
චමත් කාර අතීත සඳ යළිත් ජනිත වේවා
   

 
              
අපගේ පෙම් පුරාවතින් 
           
දෙරණ හෙළු කඳුළු ගලා
                  
මැදුරත කිරිගරුඬ පවුරු පබා කැළුම් දේවා
                   
සනාතන වූ පෙම් සිතුවම් එහි සටහන් වේවා
   
",මහද අඳුරු ලෙන  ,මගේ  හදවත ,අඳුරු ලෙන  ,මගේ  හදවත අදුරු ලෙනකි
13,Adara Seenuwa – ආදර සීනුව,Greshan Ananda,gration ananda,Movie Songs,චිත්රපට ගීත,K.D.K.Dharmawardhana,කේ.ඩී.කේ.ධර්මවර්ධන,Greshan Ananda,gration ananda,"  
        
       
        
    


                                
ආදර සීනුව පෙම්ලොව දොර ළඟ රැව් දෙන්නේ 
                         
ජීවන විජිතේ ආදර දෙවඟන හිනැහෙන්නේ 
                            
ලස්සන හදවත් පමණයි ආලය හඳුනන්නේ 
                           
මේ ආදරයට යා හැකි දුර නෑ මා දන්නේ 
    

 				
        
       

 
                                
සංසාරේ හුරු සුවඳයි මට ඈ ගෙන එන්නේ 
                                 
මාගේ දුප්පත් කමටයි ලොව එදිරිව ඉන්නේ 
                                       
ජය ටැඹ පෙනුනත් ජය හිමි වේදෝ නැහැ දන්නේ 
                             
යා යුතු මාවත කොයි අත වේදෝ නෑ දන්නේ
    

 				
        
    

 
                              
කාගේ වේවා ලේ එක වාගේ දිස් වන්නේ 
                                 
අහසයි මුහුදයි ළං වී දෙනුවන් රවටන්නේ 
                                 
ආලය මායා සිහිනය වේදෝ නැහැ දන්නේ 
                           
කාලය විසඳුම් දෙනතුරු ඉන්නද සිදුවන්නේ
    
   
",ආදර සීනුව,ආදරය,සීනුව,ආදරය නැමැති සීනුව
13,Adara Seenuwa – ආදර සීනුව,Greshan Ananda,gration ananda,Movie Songs,චිත්රපට ගීත,K.D.K.Dharmawardhana,කේ.ඩී.කේ.ධර්මවර්ධන,Greshan Ananda,gration ananda,"  
        
       
        
    


                                
ආදර සීනුව පෙම්ලොව දොර ළඟ රැව් දෙන්නේ 
                         
ජීවන විජිතේ ආදර දෙවඟන හිනැහෙන්නේ 
                            
ලස්සන හදවත් පමණයි ආලය හඳුනන්නේ 
                           
මේ ආදරයට යා හැකි දුර නෑ මා දන්නේ 
    

 				
        
       

 
                                
සංසාරේ හුරු සුවඳයි මට ඈ ගෙන එන්නේ 
                                 
මාගේ දුප්පත් කමටයි ලොව එදිරිව ඉන්නේ 
                                       
ජය ටැඹ පෙනුනත් ජය හිමි වේදෝ නැහැ දන්නේ 
                             
යා යුතු මාවත කොයි අත වේදෝ නෑ දන්නේ
    

 				
        
    

 
                              
කාගේ වේවා ලේ එක වාගේ දිස් වන්නේ 
                                 
අහසයි මුහුදයි ළං වී දෙනුවන් රවටන්නේ 
                                 
ආලය මායා සිහිනය වේදෝ නැහැ දන්නේ 
                           
කාලය විසඳුම් දෙනතුරු ඉන්නද සිදුවන්නේ
    
   
",පෙම්ලොව දොර ,පෙම්ලොව ,දොර ,පෙම්ලොව නැමැති දොර 
14,Adaraya Sundara Waradaki – ආදරය සුන්දර වරදකි,Karunaratna Divulgane,කරුණාරත්න දිවුල්ගනේ,New Pop,නව පොප්,Yamuna Malani Perera,පිරිමි මාලනී පෙරේරා,Gunadasa Kapuge,ගුණදාස කපුගේ," 
      
     
    

     


            
ආදරය සුන්දර වරදකි
                   
කිසිදා සමාවක් නම් නැති
               
මට පෙන්නලා ආලේ හැටි
                
නුඹ දුන්නු දුක හොදටම ඇති

 
                     
ඉදුවර නුවන් දෑලේ වැටී පැගී
                  
දැහැනේ වෙලී උන්මාද වුයේ මා
                      
වෙනෙකෙකූ දිහා බැලුමට යලි
                                
මට නෙත් නැතැයි කෙදු‍රැවේ කවුරුන්දෝ
   

 
                      
පුළුවර තාලා වීණා බදින් දැවැටී
                   
රතගැලි බැදී නින්නාදයේ අනුරා
                    
හද ස්වර තලා කම්පිත‍ වේවි
                           
මට මා පවා නැති කලේ කවුරුන්දෝ
   

",ඉදුවර නුවන් දෑලේ,ඇස්,මානෙල් මල  ,ඇස් මානෙල් මල් වගේය 
15,Adaraye Pawena – ආදරයේ පාවෙන,Pradeep Rangana,ප්‍රදීප් රංගන,Current Songs,වත්මන් ගීත,Pradeep Rangana,ප්‍රදීප් රංගන,Pradeep Rangana,ප්‍රදීප් රංගන,"
      
      
       
    
 

 
                               
ආදරයේ පාවෙන හැඟුමක් ජීවිතයක් සෙව්වා
                               
ආදරයේ පාවෙන හැඟුමක් ජීවිතයක් සෙව්වා
                   
පුරාණේ මගේ වූ ඔබේ ආදරේ
                       
මිරිඟුවක් තනිකමක් විතරමයි


                       
පෙම් සිහිනේ සිත සැනසූ සේයාවී
                     
ඔබ මාගේ සිත රැවටූ මායාවී

 
      
     
 
                      
මා ළඟින් ලංවෙලා ඔබ එදා කී කතා
                     
මගෙ දිළිඳු ලෝකෙ මාළිඟාවක් කළා
                  
ඒ තැනූ මාළිඟා සුන්වෙලා ගිය දිනේ
                                     
අඬන්න කඳුළු ඉතිරි නොකර යන්න ඔබ කියා
   

 
      
    
       
     

 
                         
වස්සානයේ තනිවෙලා තුරුළු වී උණුසුමේ
                       
දෑඟිල්ලේ පැටලී උන් සැඳෑව සුන්දරයි
                      
නුඹ මගේ හැම භවේ දිව්රලා සෙනෙහසින්
                               
කී කතාව මාගෙ ලෝකෙ තනිවෙලා ගියා
   
",පෙම් සිහිනේ,ප්‍රේමය ,සිහිනය,ප්‍රේමය සිහිනයකි 
16,Adaraye Ulpatha Wu – ආදරයේ උල්පත වූ,Victor Rathnayaka,වික්ටර් රත්නායක,Classics,සම්භාව්ය,Premakeerthi De Alwis,ප්‍රේමකීර්ති ද අල්විස්,Victor Rathnayaka,වික්ටර් රත්නායක,"

        
        
        
        
   


                                  
ආදරයේ උල්පත වූ අම්මා මා ඔබගේ පුතු වූ…
‍                                    
ඔබ මතු බුදුවන දවසේ මා රාහුල කුමරුන් සේ 
              
සෙවන පතා අද මෙන් පැමිණෙන්නෙමි
           
සුළැගිල්ලේ එල්ලී

 
      
     

  
                      
සඳ දිය කොට කිරිවතුරෙන් 
             
ඒ දියරෙන් මුව දෝවා
                           
දිව මතුරක්වන් නැලැවිලි ගීයෙන් 
             
මතකයි මා නැලැවූවා
                     
ජීවිතයෙන් ජීවිතයක් ගෙන දී 
              
ඒ ජීවිතයට කිරි දී පණ දී
             
මා දැඩි කල අම්මා

  
                                  
තුරුලට ගෙන අත් පා හැඩ ගස්වා 
              
නිදි ගන්වා යහන් ගැබේ
                      
සිහිනෙන් ගෑ සුවඳක් මෙන් 
                  
සිහිවෙයි ඒ කිරි සුවඳ ඔබේ
                         
දවසින් දවසට සෙනෙහස ලබැදී 
                  
ගෙන දී දිවියට නව පන ලැබදී
             
මා දැඩි කල අම්මා

",ආදරයේ උල්පත වූ අම්මා,අම්මා,ආදරයේ උල්පත ,අම්මා යනු ආදරයේ උල්පතකි 
17,Adaraye Wedanawa – ආදරයේ වේදනාව,Nanda Malani,නන්දා මාලනී,Old Pops,පැරණි පොප්,Kithsiri Nimal Shantha,කිටසිරි නිමල් ශාන්ත,Rohana Weerasingha,රෝහණ වීරසිංහ,"
              
             
      


	               
ආදරයේ වේදනාව හදට දැනුනු යම් දවසක 
	    
හුදකලාව නොතැවී යලි 
              
එන්න මා සොයා… එන්න මා සොයා


      
    


  
                       
දේදුනු පැහැයෙන් දිදුලන ආදර විජිතය හැරදා
	 
රැජින පලා ගිය මොහොතක 
	 
නොතැවී යලි ඈ සිහිකර 
              
එන්න මා සොයා… එන්න මා සොයා

  
                      
ජීවිතයට මිහිර ලතැවුල ඔබ තුරුලට ලංවූදා
	   
නොතැවී හිද තනියහනේ
	 
මතක සුලං රොදක එතී 
              
එන්න මා සොයා… එන්න මා සොයා

",ආදර විජිතය,ආදරය ,බල කොටුව,ආදරය බල කොටුවකි 
18,Adare Mandire – ආදරේ මන්දිරේ,Sujatha Attanayaka,සුජාතා තානායක,Movie Songs,චිත්රපට ගීත,Karunarathna Abeysekara,කරුණාරත්න අබේසේකර,R.Muththusami,ආර් මුත්තුස්වාමි,"  
 
   


                       
ආදරේ මන්දිරේ සඳළු තල එළිවෙලා
               
ජීවිතේ මී පිරී පිටාරය එයි ගලා

  				
    
      
      
      
    
      
 

  
                           
සුවඳ අරගෙන ඔබේ සුළඟ මා වෙත එබේ
                       
සුහද ඔබ කිම පමා සුසුම් වැල් යයි හමා
   

   				
      
    
       
   
     
   
      
 
    

  
                           
ගඟක බිහි වන සුළී වැනිය හද සිතුවිලි
                        
නයන සනහන පුරා කොහෙද මගෙ පෙම්බරා
   

",ආදරේ මන්දිරේ,ආදරය,මන්දිරය,ආදරය මහ මැදුරකි 
